timestamp,wordcount,pagecount
2019-09-01 12:00:02,0,0
2019-09-02 12:00:02,280,5
2019-09-03 12:00:02,400,11
2019-09-04 12:00:02,600,17
2019-09-05 12:40:01,884,22
2019-09-06 12:00:01,884,22
2019-09-07 12:00:01,884,22
2019-09-09 12:00:01,1056,24
2019-09-09 20:46:16,1632,28
2019-09-11 12:00:00,1735,28
2019-09-13 12:00:01,1735,28
2019-09-14 12:00:00,1735,28
2019-09-15 20:46:22,2091,29
2019-09-15 20:55:22,2091,31
2019-09-16 12:00:05,2242,31
2019-09-16 16:39:25,2471,32
2019-09-16 23:34:33,2640,33
2019-09-17 12:00:00,2640,33
2019-09-18 12:00:01,2767,34
2019-09-19 12:00:00,2841,34
2019-09-20 12:00:03,3012,35
2019-09-22 15:15:54,3060,35
2019-09-23 10:36:41,3060,35
2019-09-23 12:00:00,3060,35
2019-09-24 12:00:01,3076,35
2019-09-25 12:00:01,3336,37
2019-09-26 12:00:01,3601,39
2019-09-27 12:00:01,3653,39
2019-09-29 12:00:00,3653,39
2019-09-30 12:00:00,3699,40
2019-09-30 23:15:03,3993,41
2019-10-01 12:00:01,4034,41
2019-10-01 18:10:13,4260,43
2019-10-02 12:00:01,4548,45
2019-10-03 12:00:00,4548,45
2019-10-05 12:00:00,4630,45
2019-10-07 12:00:01,4630,45
2019-10-08 12:00:00,4830,49
2019-10-08 17:47:50,5324,51
2019-10-09 12:00:01,5591,52
2019-10-10 12:00:01,5729,53
2019-10-11 12:00:01,5826,55
2019-10-14 22:34:56,6017,57
2019-10-15 12:00:01,6017,57
2019-10-15 16:02:11,6382,62
2019-10-16 12:00:01,6551,63
2019-10-16 18:18:53,6998,66
2019-10-17 12:00:01,7089,66
2019-10-17 16:39:07,7231,66
2019-10-18 12:00:00,7231,66
2019-10-20 22:00:00,7671,69
2019-10-21 12:00:00,7671,69
2019-10-23 12:00:01,7936,70
2019-10-24 12:00:03,8015,70
2019-10-25 15:57:18,8424,73
2019-10-28 21:21:36,8644,75
2019-10-29 08:43:53,8792,76
2019-11-05 06:46:50,9135,77
2019-11-06 06:46:50,9357,79
2019-11-07 10:35:02,9357,79
2019-11-08 10:35:02,9357,79
2019-11-09 10:35:02,9555,80
2019-11-10 14:53:42,9659,81
2019-11-11 22:58:59,10161,87
2019-11-13 14:20:12,10161,87
2019-11-13 16:38:59,10303,91
2019-11-18 14:53:35,10564,92
2019-11-19 14:53:35,10564,92
2019-11-20 14:53:35,10564,92
2019-11-21 14:53:35,10701,93
2019-11-22 14:53:35,10701,93
2019-11-23 14:53:35,10701,93
2019-11-24 14:53:35,10701,93
2019-11-25 21:49:14,10952,101
2019-12-03 12:00:00,10952,101
2019-12-04 16:28:09,11357,105
2019-12-05 11:51:13,11422,106
2019-12-13 09:31:21,11507,106
2019-12-16 15:14:15,11598,107
2019-12-20 15:14:15,11598,107
2019-12-23 15:11:53,11858,107
2019-12-28 23:57:04,12170,113
2019-12-29 19:02:28,12606,118
2019-12-30 14:57:06,12971,120
2020-01-06 15:54:48,13556,124
2020-01-06 17:21:32,13786,126
2020-01-07 15:58:02,14202,128
2020-01-08 12:00:24,14568,130
2020-01-09 16:22:39,15115,136
2020-01-13 17:08:43,15575,138
2020-01-16 14:28:20,15735,141
2020-01-20 12:18:53,16133,149
2020-01-21 14:19:23,16629,154
2020-01-22 23:37:12,17047,153
2020-01-31 17:12:01,17483,155
2020-02-02 19:04:17,17608,158
2020-02-03 16:00:32,17906,166
2020-02-03 22:29:24,18104,167
2020-02-05 16:26:59,18276,169
2020-02-10 16:02:11,18531,172
